,c1_rank,c2_rank,c3_rank,c4_rank,c5_rank,c1_suit,c2_suit,c3_suit,c4_suit,c5_suit,class,s_pos,s_rank,s_suit,s_class,outcome
0,13,11,7,5,3,2,3,1,3,3,9,2,14,3,9,0
1,14,14,7,6,3,4,1,4,2,1,8,5,2,4,9,1
2,4,4,13,12,9,2,1,4,3,1,8,5,2,3,9,1
3,9,7,6,5,3,2,3,3,4,4,9,4,10,1,9,0
4,14,11,9,6,4,4,1,4,4,2,9,2,3,1,9,1
5,13,13,8,8,9,1,4,2,4,1,7,5,5,1,8,1
6,5,5,11,9,2,2,3,2,3,2,8,4,14,1,8,0
7,14,7,6,5,2,2,1,2,4,3,9,5,4,3,9,1
8,14,13,11,10,4,2,4,1,1,1,9,4,14,4,8,0
9,12,12,11,3,2,3,2,4,1,1,8,3,5,3,9,1
10,13,11,7,4,3,1,3,4,2,3,9,2,9,3,9,0
11,13,12,8,4,3,3,1,3,3,2,9,4,9,4,9,1
12,7,7,12,10,8,1,3,4,2,4,8,3,4,4,8,1
13,14,13,8,3,2,3,3,2,4,2,9,4,3,2,8,0
14,12,10,9,7,6,2,1,3,4,2,9,5,6,1,8,0
15,13,12,11,8,7,1,1,4,1,2,9,3,11,1,9,0
16,14,14,8,8,10,4,1,4,1,2,7,5,7,1,8,1
17,2,2,12,9,3,2,3,2,4,2,8,3,5,3,8,0
18,11,11,13,3,2,3,4,2,4,1,8,3,7,2,9,1
19,12,12,8,8,2,4,1,2,3,4,7,5,7,4,8,1
20,12,11,10,9,4,4,3,2,2,2,9,4,4,4,8,0
21,14,14,8,8,11,2,1,1,2,1,7,5,7,4,8,1
22,13,10,4,3,2,1,4,3,4,3,9,4,14,4,9,0
23,13,10,8,6,5,4,1,4,4,4,9,5,7,3,9,1
24,12,10,9,6,3,2,3,4,1,3,9,5,11,4,9,0
25,10,10,5,3,2,2,1,1,1,2,8,3,8,3,8,0
26,2,2,14,11,9,1,3,2,2,2,8,1,4,4,9,1
27,4,4,14,9,8,2,3,4,3,1,8,1,13,1,9,1
28,13,11,10,9,5,4,2,3,4,1,9,4,14,3,9,0
